id,nome,cidade,estado,telefone
1,Kenneth Richardson,Fort Worth,Texas,1-(817)225-2588
2,Paula Rogers,Birmingham,Alabama,1-(334)147-8316
3,Anthony Hicks,Houston,Texas,1-(713)187-7559
4,Justin Gordon,Tucson,Arizona,1-(520)127-1147
5,Phillip Myers,Macon,Georgia,1-(478)850-0072
6,Betty Flores,Saint Paul,Minnesota,1-(651)187-9915
7,Marie Fuller,Saint Augustine,Florida,1-(904)479-6876
8,Patricia Lee,Henderson,Nevada,1-(702)251-2330
9,Kathleen Medina,Kansas City,Kansas,1-(913)334-4855
10,Elizabeth Lynch,Boulder,Colorado,1-(303)474-4616
11,Jesse Gomez,Lincoln,Nebraska,1-(402)811-8152
12,Ernest Jenkins,San Luis Obispo,California,1-(805)286-7573
13,Kelly Ortiz,Pensacola,Florida,1-(850)317-3877
14,Ashley Freeman,Kansas City,Missouri,1-(816)399-8606
15,Wayne Hudson,Washington,District of Columbia,1-(202)417-3562
16,Teresa Fisher,Corona,California,1-(626)751-2809
17,Frances Gonzales,Greensboro,North Carolina,1-(336)828-8734
18,Judith Wheeler,Pensacola,Florida,1-(850)655-1549
19,Gregory Price,York,Pennsylvania,1-(717)552-1606
20,Mildred Mendoza,Spokane,Washington,1-(509)941-3018
21,Jane Ross,Saint Louis,Missouri,1-(314)686-5403
22,Donald Crawford,Atlanta,Georgia,1-(404)482-9038
23,Jerry Richardson,Baltimore,Maryland,1-(410)759-8242
24,Paula Carroll,Naples,Florida,1-(239)402-0097
25,Alice Morgan,Terre Haute,Indiana,1-(812)408-5515
26,Angela Elliott,Tucson,Arizona,1-(520)179-9750
27,Shawn Reed,Sacramento,California,1-(916)716-9980
28,Marie Gilbert,Madison,Wisconsin,1-(608)686-5400
29,Donald Cole,Canton,Ohio,1-(330)149-0598
30,Patrick Hill,Marietta,Georgia,1-(770)704-4567
31,Justin Wallace,Shreveport,Louisiana,1-(318)723-0185
32,Beverly Garza,Hollywood,Florida,1-(305)256-7986
33,Jimmy Davis,Anaheim,California,1-(626)806-0038
34,Angela Allen,Charleston,West Virginia,1-(304)743-1804
35,Jose Ray,Amarillo,Texas,1-(806)278-4695
36,Roger Jackson,San Antonio,Texas,1-(210)456-9064
37,Ashley Hanson,Kansas City,Missouri,1-(816)410-3040
38,Harry Baker,Oklahoma City,Oklahoma,1-(405)926-5189
39,Albert Peters,Greenville,South Carolina,1-(864)120-8846
40,Jimmy Henderson,Louisville,Kentucky,1-(502)531-4034
41,Kathleen Gutierrez,Littleton,Colorado,1-(303)299-0520
42,Steve Burns,Torrance,California,1-(310)954-8857
43,Roy Boyd,Beaverton,Oregon,1-(503)242-3471
44,Steve Alexander,Fort Worth,Texas,1-(817)426-5217
45,Douglas Gibson,Saint Paul,Minnesota,1-(651)957-0081
46,Gloria Gonzalez,Brockton,Massachusetts,1-(508)353-0862
47,Walter Evans,Saint Petersburg,Florida,1-(813)576-0684
48,Kelly Lopez,Saint Louis,Missouri,1-(314)847-9610
